IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
14;2010;362291;153658;66555;15;2716010
14;2009;375450;483825;334445;30;4629788
14;2006;314911;350434;174705;26;4176819
14;2011;371281;640496;251855;37;16848624
4;1988;194554;158097;50939;11;2595715
14;2004;1284832;142626;53935;34;8818991
14;2007;610978;210108;86247;15;8149290
14;2011;280054;227870;77034;12;2825718
14;2011;668584;318379;161435;14;10639839
11;2006;533967;271738;120457;15;13186316
14;1990;664873;497571;195482;14;13069704
14;2012;115281;42113;17603;4;2520241
14;1964;1659483;1617564;545598;107;42096868
5;1994;7537837;2422891;1274547;261;113862186
14;1993;590542;697981;151359;42;8877140
5;1988;438978;284519;115565;18;3607743
4;1977;185196;146577;55721;12;1106973
4;1991;367090;264727;118245;17;2781759
14;1974;1785148;1739865;911278;90;17267787
4;1980;1567240;1463619;515852;99;22611207
5;1987;1559426;311311;135629;22;9356349
14;1990;2873783;3392057;1638599;96;70179485
4;1993;258781;532374;227966;21;2457544
14;1983;1455099;2338599;1000679;153;25121141
14;1981;972760;482727;165835;31;6602078
5;1955;3214485;3579324;1294267;178;22517800
5;1977;207189273;40279812;18346055;7273;2211430975
14;1952;1095378;1072914;395075;85;3607007
4;1981;625109;290375;109194;23;2625086
14;1983;534579;460602;194892;43;11322090
5;1990;3173021;1923321;697396;108;43040115
14;1978;5571220;5849535;1942832;225;105259284
14;1969;706979;490236;155939;12;3543205
14;1979;1279957;1685285;698254;66;21085423
14;1985;199559;215118;96455;12;6398785
5;2001;266156;269735;105276;14;5609353
5;1966;508761;584810;212104;36;8299344
5;1985;1448475;998521;446558;44;23055001
4;1970;471608;408781;171079;29;3136983
5;1990;257356;612204;233980;36;9896521
5;1989;2486298;2944336;1158298;142;55237330
5;1993;1536147;264700;128426;13;6730476
5;2000;521048;441804;168934;30;9308730
4;1992;1893707;1243025;567693;81;7775766
4;1989;3803264;644757;337853;46;42626473
5;1980;1340899;1717024;773683;70;5559124
14;1991;1567117;2466477;886740;210;75244434
14;1993;7338492;613078;250404;270;60704803
14;1990;653306;308534;84073;13;7902084
5;1988;1508476;772379;339578;50;16118910
4;1990;1719954;1303366;531328;129;16280492
5;1993;67833969;27211452;11365821;335;1100031642
14;1969;2260659;2381792;1134118;59;37062212
14;1997;580025;240063;111088;17;3088790
